date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:55:27	512069/512069	---MCZ	200	added ('OK')	text/html	date:Fri,%2030%20Oct%202020%2009:55:26%20GMT	https://yangyuqing9527.wixsite.com/jobbrokeronline	C:/My%20Web%20Sites/jb/yangyuqing9527.wixsite.com/jobbrokeronline.html	(from )
22:55:27	201/201	---M--	200	added ('OK')	text/plain	etag:W/%22c9-fPhna5f2Wf3Q8vo5B48mI7Y0z7w%22	https://yangyuqing9527.wixsite.com/robots.txt		(from )
22:55:27	137771/137771	---M-Z	200	added ('OK')	application/javascript	etag:W/%2218eb21e8d1074fd7a594d3748ba0cb33%22	https://static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	C:/My%20Web%20Sites/jb/static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	(from https://yangyuqing9527.wixsite.com/jobbrokeronline)
22:55:28	1171/1171	---M-Z	200	added ('OK')	application/javascript	etag:W/%22c187011c9a45c15a6fcbf5d62a5d755f%22	https://static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	C:/My%20Web%20Sites/jb/static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	(from https://yangyuqing9527.wixsite.com/jobbrokeronline)
22:55:28	36299/36299	---M-Z	200	added ('OK')	text/javascript	date:Wed,%2007%20Oct%202020%2016:17:13%20GMT	https://polyfill.io/v3/polyfill.min.js?features=fetch	C:/My%20Web%20Sites/jb/polyfill.io/v3/polyfill.mind82c.js	(from https://yangyuqing9527.wixsite.com/jobbrokeronline)
22:55:29	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2030%20Oct%202020%2009:55:28%20GMT	https://yangyuqing9527.wixsite.com/jobbrokeronline/decodeURIComponent(e	C:/My%20Web%20Sites/jb/yangyuqing9527.wixsite.com/jobbrokeronline/decodeURIComponent(e	(from https://yangyuqing9527.wixsite.com/jobbrokeronline)
22:55:29	58325/58325	---M-Z	200	added ('OK')	application/javascript	etag:%2227315422580e3fc670b3db4a0f32598e%22	https://browser.sentry-cdn.com/5.21.4/bundle.min.js	C:/My%20Web%20Sites/jb/browser.sentry-cdn.com/5.21.4/bundle.min.js	(from https://yangyuqing9527.wixsite.com/jobbrokeronline)
22:55:29	416568/416568	---M--	200	added ('OK')	image/png	etag:%2267f18ef1cef3afdd68201d0f44f5a2b2-1%22	https://static.parastorage.com//services/santa-resources/resources/viewer/editorUI/fonts.v10.png	C:/My%20Web%20Sites/jb/static.parastorage.com/services/santa-resources/resources/viewer/editorUI/fonts.v10.png	(from https://yangyuqing9527.wixsite.com/jobbrokeronline)
22:55:30	14798/14798	---MCZ	200	added ('OK')	application/json	date:Fri,%2030%20Oct%202020%2009:55:29%20GMT	https://yangyuqing9527.wixsite.com/jobbrokeronline/_api/v2/dynamicmodel	C:/My%20Web%20Sites/jb/yangyuqing9527.wixsite.com/jobbrokeronline/_api/v2/dynamicmodel.json	(from https://yangyuqing9527.wixsite.com/jobbrokeronline)
22:55:30	500591/500591	---M-Z	200	added ('OK')	application/javascript	etag:W/%22b01d9c74f3d225562da4600f290f6a70%22	https://static.parastorage.com/services/pro-gallery-santa-wrapper/1.1327.0/blueprintsViewer.bundle.min.js	C:/My%20Web%20Sites/jb/static.parastorage.com/services/pro-gallery-santa-wrapper/1.1327.0/blueprintsViewer.bundle.min.js	(from https://yangyuqing9527.wixsite.com/jobbrokeronline)
22:55:30	9220/9220	---M-Z	200	added ('OK')	application/javascript	etag:W/%2272934aaa9719cc0dc5affa65198cbcf0%22	https://static.parastorage.com/services/chat-worker/1.430.0/viewer-script.bundle.min.js	C:/My%20Web%20Sites/jb/static.parastorage.com/services/chat-worker/1.430.0/viewer-script.bundle.min.js	(from https://yangyuqing9527.wixsite.com/jobbrokeronline)
22:55:31	386357/386357	---M-Z	200	added ('OK')	application/javascript	etag:W/%222d3755b97f304b22e52966e3b07de3c0%22	https://static.parastorage.com/services/wix-thunderbolt/dist/clientWorker.db19ad4b.bundle.min.js	C:/My%20Web%20Sites/jb/static.parastorage.com/services/wix-thunderbolt/dist/clientWorker.db19ad4b.bundle.min.js	(from https://yangyuqing9527.wixsite.com/jobbrokeronline)
22:55:31	998261/998261	---M-Z	200	added ('OK')	application/javascript	etag:W/%22abc46abd719e2a6323db34ec87129dbc%22	https://static.parastorage.com/services/wix-form-builder/1.3669.0/editor-app.bundle.min.js	C:/My%20Web%20Sites/jb/static.parastorage.com/services/wix-form-builder/1.3669.0/editor-app.bundle.min.js	(from https://yangyuqing9527.wixsite.com/jobbrokeronline)
22:55:32	132913/132913	---M-Z	200	added ('OK')	application/javascript	etag:W/%2259b56542ab75808b20ec332b153bccdb%22	https://static.parastorage.com/services/wix-form-builder/1.3669.0/viewer-app.bundle.min.js	C:/My%20Web%20Sites/jb/static.parastorage.com/services/wix-form-builder/1.3669.0/viewer-app.bundle.min.js	(from https://yangyuqing9527.wixsite.com/jobbrokeronline)
22:55:32	293343/293343	---M-Z	200	added ('OK')	application/javascript	etag:W/%22846cd6df1151779dd88ac7f89a254f01%22	https://static.parastorage.com/services/pro-gallery-santa-wrapper/1.1327.0/blueprintsViewerScript.bundle.min.js	C:/My%20Web%20Sites/jb/static.parastorage.com/services/pro-gallery-santa-wrapper/1.1327.0/blueprintsViewerScript.bundle.min.js	(from https://yangyuqing9527.wixsite.com/jobbrokeronline)
22:55:32	291381/291381	---M-Z	200	added ('OK')	application/javascript	etag:W/%2254724cbcb9e2d69ffd77ff46f278dac9%22	https://static.parastorage.com/services/dbsm-viewer-app/1.1235.0/app.js	C:/My%20Web%20Sites/jb/static.parastorage.com/services/dbsm-viewer-app/1.1235.0/app.js	(from https://yangyuqing9527.wixsite.com/jobbrokeronline)
22:55:33	74992/74992	---M-Z	200	added ('OK')	application/javascript	etag:W/%22f4f925a874b278c63d7168d2e2c10714%22	https://static.parastorage.com/services/wix-code-viewer-app/1.657.0/app.js	C:/My%20Web%20Sites/jb/static.parastorage.com/services/wix-code-viewer-app/1.657.0/app.js	(from https://yangyuqing9527.wixsite.com/jobbrokeronline)
22:55:33	1471628/1471628	---M-Z	200	added ('OK')	application/javascript	etag:W/%22f32219c96c0f1f3be796ac298b38a329%22	https://static.parastorage.com/services/editor-elements/1.2960.0/componentSSRSdks.bundle.js	C:/My%20Web%20Sites/jb/static.parastorage.com/services/editor-elements/1.2960.0/componentSSRSdks.bundle.js	(from https://yangyuqing9527.wixsite.com/jobbrokeronline)
22:55:34	56938/56938	---M-Z	200	added ('OK')	application/javascript	etag:W/%221aaa9be877076f0f7dfbf575ce4cebfd%22	https://static.parastorage.com/services/editor-elements/dist/componentSdks.054f2e01.bundle.min.js	C:/My%20Web%20Sites/jb/static.parastorage.com/services/editor-elements/dist/componentSdks.054f2e01.bundle.min.js	(from https://yangyuqing9527.wixsite.com/jobbrokeronline)
22:55:34	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2030%20Oct%202020%2009:55:34%20GMT	https://yangyuqing9527.wixsite.com/jobbrokeronline/robots.txt	C:/My%20Web%20Sites/jb/yangyuqing9527.wixsite.com/jobbrokeronline/robots.txt	(from https://yangyuqing9527.wixsite.com/jobbrokeronline)
22:55:35	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2030%20Oct%202020%2009:55:34%20GMT	https://yangyuqing9527.wixsite.com/jobbrokeronline/wix-thunderbolt/dist/	C:/My%20Web%20Sites/jb/yangyuqing9527.wixsite.com/jobbrokeronline/wix-thunderbolt/dist/index.html	(from https://yangyuqing9527.wixsite.com/jobbrokeronline)
22:55:35	277/277	---M--	200	added ('OK')	text/xml	etag:7115b08792f380ab1e26b471ab1a1e78	https://yangyuqing9527.wixsite.com/jobbrokeronline/sitemap.xml	C:/My%20Web%20Sites/jb/yangyuqing9527.wixsite.com/jobbrokeronline/sitemap.xml	(from https://yangyuqing9527.wixsite.com/jobbrokeronline)
22:55:35	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2030%20Oct%202020%2009:55:34%20GMT	https://yangyuqing9527.wixsite.com/jobbrokeronline/feed.xml	C:/My%20Web%20Sites/jb/yangyuqing9527.wixsite.com/jobbrokeronline/feed.xml	(from https://yangyuqing9527.wixsite.com/jobbrokeronline)
